symbol, name
A200.AX, Betashares Australia 200 ETF
A2M.AX, The a2 Milk Company Ltd
AAA.AX, Betashares Australian High Interest Cash ETF
ABC.AX, Adbri Ltd
ABP.AX, Abacus Property Group
AFI.AX, Australian Foundation Investment Company Ltd
AGL.AX, AGL Energy Ltd
AIA.AX, Auckland International Airport Ltd
AIZ.AX, Air New Zealand Ltd
ALD.AX, Ampol Ltd
ALL.AX, Aristocrat Leisure Ltd
ALQ.AX, Als Ltd
ALU.AX, Altium Ltd
ALX.AX, Atlas Arteria
AMC.AX, Amcor Plc
AMP.AX, AMP Ltd
ANN.AX, Ansell Ltd  
ANZ.AX, Australia and New Zealand Banking Group Ltd
APA.AX, APA Group
APE.AX, Eagers Automotive Ltd
APT.AX, Afterpay Ltd
APX.AX, Appen Ltd
ARB.AX, ARB Corporation Ltd
ARF.AX, Arena REIT
ARG.AX, Argo Investments Ltd
AST.AX, Ausnet Services Ltd
ASX.AX, ASX Ltd
AUB.AX, AUB Group Ltd
AUI.AX, Australian United Investment Company Ltd
AVN.AX, Aventus Group
AWC.AX, Alumina Ltd
AX1.AX, Accent Group Ltd
AZJ.AX, Aurizon Holdings Ltd
BAP.AX, Bapcor Ltd
BEN.AX, Bendigo and Adelaide Bank Ltd
BET.AX, Betmakers Technology Group Ltd
BGA.AX, Bega Cheese Ltd
BHP.AX, BHP Group Ltd
BIN.AX, Bingo Industries Ltd
BKI.AX, BKI Investment Company Ltd
BKL.AX, Blackmores Ltd
BKW.AX, Brickworks Ltd
BLD.AX, Boral Ltd
BOQ.AX, Bank of Queensland Ltd
BPT.AX, Beach Energy Ltd
BRG.AX, Breville Group Ltd
BRN.AX, Brainchip Holdings Ltd  
BSL.AX, Bluescope Steel Ltd
BWP.AX, BWP Trust
BXB.AX, Brambles Ltd
CAR.AX, Carsales.com Ltd
CBA.AX, Commonwealth Bank of Australia
CCL.AX, Coca-Cola Amatil LtdSuspended
CCP.AX, Credit Corp Group Ltd
CCX.AX, City Chic Collective Ltd
CDA.AX, Codan Ltd
CEN.AX, Contact Energy Ltd
CGC.AX, Costa Group Holdings Ltd
CGF.AX, Challenger Ltd
CHC.AX, Charter Hall Group
CHN.AX, Chalice Mining Ltd
CIA.AX, Champion Iron Ltd
CIM.AX, Cimic Group Ltd
CIP.AX, Centuria Industrial REIT
CKF.AX, Collins Foods Ltd
CLW.AX, Charter Hall Long Wale REIT
CMW.AX, Cromwell Property Group
CNI.AX, Centuria Capital Group
CNU.AX, Chorus Ltd
COF.AX, Centuria Office REIT
COH.AX, Cochlear Ltd
COL.AX, Coles Group Ltd  
CPU.AX, Computershare Ltd
CQE.AX, Charter Hall Social Infrastructure REIT
CQR.AX, Charter Hall Retail REIT
CRN.AX, Coronado Global Resources Inc
CSL.AX, CSL Ltd
CSR.AX, CSR Ltd
CTD.AX, Corporate Travel Management Ltd
CUV.AX, Clinuvel Pharmaceuticals Ltd
CWN.AX, Crown Resorts Ltd
CWY.AX, Cleanaway Waste Management Ltd
DBI.AX, Dalrymple Bay Infrastructure Ltd
DDR.AX, Dicker Data Ltd
DEG.AX, De Grey Mining Ltd
DHG.AX, Domain Holdings Australia Ltd
DMP.AX, Domino's PIZZA Enterprises Ltd
DOW.AX, Downer Edi Ltd
DRR.AX, Deterra Royalties Ltd
DTL.AX, Data#3 Ltd
DUI.AX, Diversified United Investment Ltd
DXS.AX, Dexus
EBO.AX, Ebos Group Ltd
ELD.AX, Elders Ltd
EML.AX, EML Payments Ltd
ETHI.AX, Betashares Global Sustainability Leaders ETF
EVN.AX, Evolution Mining Ltd
EVT.AX, Event Hospitality and Entertainment Ltd
FAIR.AX, Betashares Australian Sustainability Leaders ETF
FBU.AX, Fletcher Building Ltd
FCL.AX, Fineos Corporation Holdings Plc
FLT.AX, Flight Centre Travel Group Ltd
FMG.AX, Fortescue Metals Group Ltd
FPH.AX, Fisher & Paykel Healthcare Corporation Ltd
GMA.AX, Genworth Mortgage Insurance Australia Ltd
GMG.AX, Goodman Group
GNC.AX, Graincorp Ltd
GNE.AX, Genesis Energy Ltd
GOLD.AX, ETFs Metal Securities Australia Ltd
GOR.AX, Gold Road Resources Ltd
GOZ.AX, Growthpoint Properties Australia
GPT.AX, GPT Group
GUD.AX, G.U.D. Holdings Ltd
GXY.AX, Galaxy Resources Ltd
HBRD.AX, Betashares Active Australian Hybrids Fund (Managed Fund)
HGH.AX, Heartland Group Holdings Ltd
HLS.AX, Healius Ltd
HM1.AX, Hearts and Minds Investments Ltd
HMC.AX, Home Consortium
HSN.AX, Hansen Technologies Ltd
HTA.AX, Hutchison Telecommunications (Australia) Ltd
HUB.AX, HUB24 Ltd
HVN.AX, Harvey Norman Holdings Ltd
HYGG.AX, Hyperion GBL Growth Companies Fund (Managed Fund)
IAF.AX, Ishares Core Composite Bond ETF
IAG.AX, Insurance Australia Group Ltd
IDX.AX, Integral Diagnostics Ltd
IEL.AX, Idp Education Ltd
IEM.AX, Ishares MSCI Emerging Markets ETF
IFL.AX, IOOF Holdings Ltd
IFT.AX, Infratil Ltd
IGO.AX, IGO Ltd  
ILU.AX, Iluka Resources Ltd
INA.AX, Ingenia Communities Group
ING.AX, Inghams Group Ltd
IOO.AX, Ishares Global 100 ETF
IOZ.AX, Ishares Core S&P/ASX 200 ETF
IPH.AX, IPH Ltd
IPL.AX, Incitec Pivot Ltd
IRE.AX, Iress Ltd
ISX.AX, Isignthis LtdSuspended
IVC.AX, Invocare Ltd
IVV.AX, Ishares S&P 500 ETF
JBH.AX, JB Hi-Fi Ltd  
JHG.AX, Janus Henderson Group Plc
JHX.AX, James Hardie Industries Plc
KGN.AX, Kogan.com Ltd  
LEP.AX, Ale Property Group
LFG.AX, Liberty Financial Group
LFS.AX, Latitude Group Holdings Ltd
LIC.AX, Lifestyle Communities Ltd
LLC.AX, Lendlease Group
LNK.AX, Link Administration Holdings Ltd  
LOV.AX, Lovisa Holdings Ltd
LSF.AX, L1 Long Short Fund Ltd
LYC.AX, Lynas Rare EARTHS Ltd
MAQ.AX, Macquarie Telecom Group Ltd
MCY.AX, Mercury NZ Ltd
MEZ.AX, Meridian Energy Ltd
MFF.AX, MFF Capital Investments Ltd
MFG.AX, Magellan Financial Group Ltd
MGF.AX, Magellan Global Fund
MGH.AX, Maas Group Holdings Ltd
MGOC.AX, Magellan Global Fund (Open Class) (Managed Fund)
MGR.AX, Mirvac Group  
MGX.AX, Mount Gibson Iron Ltd
MIN.AX, Mineral Resources Ltd
MLT.AX, Milton Corporation Ltd
MND.AX, Monadelphous Group Ltd
MP1.AX, Megaport Ltd
MPL.AX, Medibank Private Ltd
MQG.AX, Macquarie Group Ltd
MSB.AX, Mesoblast Ltd
MTS.AX, Metcash Ltd
MVW.AX, Vaneck Vectors Australian EQUAL Weight ETF
MXT.AX, MCP Master Income Trust
NAB.AX, National Australia Bank Ltd
NAN.AX, Nanosonics Ltd
NCM.AX, Newcrest Mining Ltd
NDQ.AX, Betashares Nasdaq 100 ETF
NEA.AX, Nearmap Ltd
NEC.AX, Nine Entertainment Co. Holdings Ltd
NHC.AX, New Hope Corporation Ltd
NHF.AX, Nib Holdings Ltd
NIC.AX, Nickel Mines Ltd
NSR.AX, National Storage REIT
NST.AX, Northern Star Resources Ltd
NUF.AX, Nufarm Ltd
NWH.AX, NRW Holdings Ltd
NWL.AX, Netwealth Group Ltd
NWS.AX, News Corporation
NXL.AX, NUIX Ltd
NXT.AX, NEXTDC Ltd
