symbol,name
A2M.AX,A2 Milk
ALD.AX,Ampol
ALL.AX,Aristocrat Leisure
ALQ.AX,ALS
AMC.AX,Amcor
ANZ.AX,ANZ Group
APA.AX,APA Group
ARB.AX,ARB Corporation
ASX.AX,ASX
BAP.AX,Bapcor
BEN.AX,Bendigo and Adelaide Bank
BHP.AX,BHP Group
BOQ.AX,Bank of Queensland
BRG.AX,Breville Group
BSL.AX,BlueScope Steel
BXB.AX,Brambles
CAR.AX,CAR Group
CBA.AX,Commonwealth Bank
CHC.AX,Charter Hall
COL.AX,Coles Group
CPU.AX,Computershare
CSL.AX,CSL
DMP.AX,Domino's Pizza Enterprises
EVN.AX,Evolution Mining
FMG.AX,Fortescue
FPH.AX,Fisher & Paykel Healthcare
GMG.AX,Goodman Group
GQG.AX,GQG Partners
HVN.AX,Harvey Norman
IGO.AX,IGO
ILU.AX,Iluka Resources
JHX.AX,James Hardie Industries
LLC.AX,Lendlease
LYC.AX,Lynas Rare Earths
MPL.AX,Medibank Private
MQG.AX,Macquarie Group
NAB.AX,National Australia Bank
NCK.AX,Nick Scali
NEC.AX,Nine Entertainment
NEM.AX,Newmont
NST.AX,Northern Star Resources
NWL.AX,Netwealth
ORG.AX,Origin Energy
ORI.AX,Orica
PLS.AX,Pilbara Minerals
PME.AX,Pro Medicus
QAN.AX,Qantas Airways
QBE.AX,QBE Insurance
REA.AX,REA Group
REH.AX,Reece
RHC.AX,Ramsay Health Care
RIO.AX,Rio Tinto
RMD.AX,ResMed
S32.AX,South32
SEK.AX,SEEK
SGP.AX,Stockland
SHL.AX,Sonic Healthcare
SOL.AX,Washington H Soul Pattinson
STO.AX,Santos
SUN.AX,Suncorp
TCL.AX,Transurban
TLS.AX,Telstra
TPG.AX,TPG Telecom
TWE.AX,Treasury Wine Estates
VCX.AX,Vicinity Centres
WBC.AX,Westpac
WES.AX,Wesfarmers
WHC.AX,Whitehaven Coal
WOR.AX,Worley
WOW.AX,Woolworths Group
WTC.AX,WiseTech Global
XRO.AX,Xero
